,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
76,"frozenset({'poutcome_unknown', 'previous_0'})",frozenset({'default_no'}),0.865175,0.979775,0.84635,0.9782413962493137,0.9984347388424013,-0.0013268356249999114,0.9295173638778242
77,frozenset({'default_no'}),"frozenset({'poutcome_unknown', 'previous_0'})",0.979775,0.865175,0.84635,0.8638207751779746,0.9984347388424013,-0.0013268356249999114,0.9900555696083947
78,frozenset({'poutcome_unknown'}),"frozenset({'default_no', 'previous_0'})",0.865175,0.84635,0.84635,0.9782413962493137,1.1558355246048486,0.11410913874999995,7.061574435590967
79,frozenset({'previous_0'}),"frozenset({'default_no', 'poutcome_unknown'})",0.865175,0.84635,0.84635,0.9782413962493137,1.1558355246048486,0.11410913874999995,7.061574435590967
80,"frozenset({'default_no', 'poutcome_unknown'})",frozenset({'y_no'}),0.84635,0.9276,0.7861,0.9288119572280971,1.0013065515611224,0.0010257399999999972,1.0170247302904558
81,"frozenset({'default_no', 'y_no'})",frozenset({'poutcome_unknown'}),0.9086,0.865175,0.7861,0.8651771956856703,1.0000025378514985,1.9949999999768764e-06,1.0000162857142858
82,"frozenset({'poutcome_unknown', 'y_no'})",frozenset({'default_no'}),0.8038,0.979775,0.7861,0.9779795969146554,0.9981675353164302,-0.001443144999999868,0.9184663841807943
83,frozenset({'default_no'}),"frozenset({'poutcome_unknown', 'y_no'})",0.979775,0.8038,0.7861,0.8023270648873466,0.9981675353164303,-0.001443144999999868,0.9925486252743001
84,frozenset({'poutcome_unknown'}),"frozenset({'default_no', 'y_no'})",0.865175,0.9086,0.7861,0.9086023058918716,1.0000025378514987,1.9949999999768764e-06,1.0000252292127736
85,frozenset({'y_no'}),"frozenset({'default_no', 'poutcome_unknown'})",0.9276,0.84635,0.7861,0.847455799913756,1.0013065515611224,0.0010257399999999972,1.0072490459363956
86,"frozenset({'default_no', 'previous_0'})",frozenset({'y_no'}),0.84635,0.9276,0.7861,0.9288119572280971,1.0013065515611224,0.0010257399999999972,1.0170247302904558
87,"frozenset({'y_no', 'previous_0'})",frozenset({'default_no'}),0.8038,0.979775,0.7861,0.9779795969146554,0.9981675353164302,-0.001443144999999868,0.9184663841807943
88,"frozenset({'default_no', 'y_no'})",frozenset({'previous_0'}),0.9086,0.865175,0.7861,0.8651771956856703,1.0000025378514985,1.9949999999768764e-06,1.0000162857142858
89,frozenset({'previous_0'}),"frozenset({'default_no', 'y_no'})",0.865175,0.9086,0.7861,0.9086023058918716,1.0000025378514987,1.9949999999768764e-06,1.0000252292127736
90,frozenset({'default_no'}),"frozenset({'y_no', 'previous_0'})",0.979775,0.8038,0.7861,0.8023270648873466,0.9981675353164303,-0.001443144999999868,0.9925486252743001
91,frozenset({'y_no'}),"frozenset({'default_no', 'previous_0'})",0.9276,0.84635,0.7861,0.847455799913756,1.0013065515611224,0.0010257399999999972,1.0072490459363956
92,"frozenset({'loan_no', 'poutcome_unknown'})",frozenset({'pdays_-1'}),0.715575,0.865175,0.715575,1.0,1.1558355246048486,0.096477399375,inf
93,"frozenset({'loan_no', 'pdays_-1'})",frozenset({'poutcome_unknown'}),0.715575,0.865175,0.715575,1.0,1.1558355246048486,0.096477399375,inf
94,"frozenset({'poutcome_unknown', 'pdays_-1'})",frozenset({'loan_no'}),0.865175,0.82675,0.715575,0.8270870055191145,1.000407626875252,0.00029156874999991533,1.0019489889705877
95,frozenset({'loan_no'}),"frozenset({'poutcome_unknown', 'pdays_-1'})",0.82675,0.865175,0.715575,0.8655276685817962,1.000407626875252,0.00029156874999991533,1.0026226107488192
96,frozenset({'poutcome_unknown'}),"frozenset({'loan_no', 'pdays_-1'})",0.865175,0.715575,0.715575,0.8270870055191145,1.1558355246048486,0.096477399375,1.644902402239304
97,frozenset({'pdays_-1'}),"frozenset({'loan_no', 'poutcome_unknown'})",0.865175,0.715575,0.715575,0.8270870055191145,1.1558355246048486,0.096477399375,1.644902402239304
98,"frozenset({'loan_no', 'pdays_-1'})",frozenset({'previous_0'}),0.715575,0.865175,0.715575,1.0,1.1558355246048486,0.096477399375,inf
99,"frozenset({'loan_no', 'previous_0'})",frozenset({'pdays_-1'}),0.715575,0.865175,0.715575,1.0,1.1558355246048486,0.096477399375,inf
100,"frozenset({'pdays_-1', 'previous_0'})",frozenset({'loan_no'}),0.865175,0.82675,0.715575,0.8270870055191145,1.000407626875252,0.00029156874999991533,1.0019489889705877
101,frozenset({'loan_no'}),"frozenset({'pdays_-1', 'previous_0'})",0.82675,0.865175,0.715575,0.8655276685817962,1.000407626875252,0.00029156874999991533,1.0026226107488192
102,frozenset({'pdays_-1'}),"frozenset({'loan_no', 'previous_0'})",0.865175,0.715575,0.715575,0.8270870055191145,1.1558355246048486,0.096477399375,1.644902402239304
103,frozenset({'previous_0'}),"frozenset({'loan_no', 'pdays_-1'})",0.865175,0.715575,0.715575,0.8270870055191145,1.1558355246048486,0.096477399375,1.644902402239304
104,"frozenset({'loan_no', 'pdays_-1'})",frozenset({'y_no'}),0.715575,0.9276,0.662275,0.9255144464242043,0.9977516671239806,-0.0014923700000000206,0.9720005628517828
105,"frozenset({'loan_no', 'y_no'})",frozenset({'pdays_-1'}),0.76385,0.865175,0.662275,0.8670223211363487,1.0021351993947452,0.0014110762499999208,1.0138919640659605
106,"frozenset({'pdays_-1', 'y_no'})",frozenset({'loan_no'}),0.8038,0.82675,0.662275,0.8239300821099775,0.9965891528394043,-0.0022666500000000367,0.9839841017488073
107,frozenset({'loan_no'}),"frozenset({'pdays_-1', 'y_no'})",0.82675,0.8038,0.662275,0.8010583610523132,0.9965891528394044,-0.0022666500000000367,0.9862188782489739
108,frozenset({'pdays_-1'}),"frozenset({'loan_no', 'y_no'})",0.865175,0.76385,0.662275,0.7654809720576761,1.0021351993947452,0.0014110762499999208,1.0069545404139963
109,frozenset({'y_no'}),"frozenset({'loan_no', 'pdays_-1'})",0.9276,0.715575,0.662275,0.7139661492022423,0.9977516671239806,-0.0014923700000000206,0.9943753132950156
110,"frozenset({'loan_no', 'poutcome_unknown'})",frozenset({'previous_0'}),0.715575,0.865175,0.715575,1.0,1.1558355246048486,0.096477399375,inf
111,"frozenset({'loan_no', 'previous_0'})",frozenset({'poutcome_unknown'}),0.715575,0.865175,0.715575,1.0,1.1558355246048486,0.096477399375,inf
112,"frozenset({'poutcome_unknown', 'previous_0'})",frozenset({'loan_no'}),0.865175,0.82675,0.715575,0.8270870055191145,1.000407626875252,0.00029156874999991533,1.0019489889705877
113,frozenset({'loan_no'}),"frozenset({'poutcome_unknown', 'previous_0'})",0.82675,0.865175,0.715575,0.8655276685817962,1.000407626875252,0.00029156874999991533,1.0026226107488192
114,frozenset({'poutcome_unknown'}),"frozenset({'loan_no', 'previous_0'})",0.865175,0.715575,0.715575,0.8270870055191145,1.1558355246048486,0.096477399375,1.644902402239304
115,frozenset({'previous_0'}),"frozenset({'loan_no', 'poutcome_unknown'})",0.865175,0.715575,0.715575,0.8270870055191145,1.1558355246048486,0.096477399375,1.644902402239304
116,"frozenset({'loan_no', 'poutcome_unknown'})",frozenset({'y_no'}),0.715575,0.9276,0.662275,0.9255144464242043,0.9977516671239806,-0.0014923700000000206,0.9720005628517828
117,"frozenset({'loan_no', 'y_no'})",frozenset({'poutcome_unknown'}),0.76385,0.865175,0.662275,0.8670223211363487,1.0021351993947452,0.0014110762499999208,1.0138919640659605
118,"frozenset({'poutcome_unknown', 'y_no'})",frozenset({'loan_no'}),0.8038,0.82675,0.662275,0.8239300821099775,0.9965891528394043,-0.0022666500000000367,0.9839841017488073
119,frozenset({'loan_no'}),"frozenset({'poutcome_unknown', 'y_no'})",0.82675,0.8038,0.662275,0.8010583610523132,0.9965891528394044,-0.0022666500000000367,0.9862188782489739
120,frozenset({'poutcome_unknown'}),"frozenset({'loan_no', 'y_no'})",0.865175,0.76385,0.662275,0.7654809720576761,1.0021351993947452,0.0014110762499999208,1.0069545404139963
121,frozenset({'y_no'}),"frozenset({'loan_no', 'poutcome_unknown'})",0.9276,0.715575,0.662275,0.7139661492022423,0.9977516671239806,-0.0014923700000000206,0.9943753132950156
122,"frozenset({'loan_no', 'previous_0'})",frozenset({'y_no'}),0.715575,0.9276,0.662275,0.9255144464242043,0.9977516671239806,-0.0014923700000000206,0.9720005628517828
123,"frozenset({'y_no', 'previous_0'})",frozenset({'loan_no'}),0.8038,0.82675,0.662275,0.8239300821099775,0.9965891528394043,-0.0022666500000000367,0.9839841017488073
124,"frozenset({'loan_no', 'y_no'})",frozenset({'previous_0'}),0.76385,0.865175,0.662275,0.8670223211363487,1.0021351993947452,0.0014110762499999208,1.0138919640659605
125,frozenset({'previous_0'}),"frozenset({'loan_no', 'y_no'})",0.865175,0.76385,0.662275,0.7654809720576761,1.0021351993947452,0.0014110762499999208,1.0069545404139963
126,frozenset({'loan_no'}),"frozenset({'y_no', 'previous_0'})",0.82675,0.8038,0.662275,0.8010583610523132,0.9965891528394044,-0.0022666500000000367,0.9862188782489739
127,frozenset({'y_no'}),"frozenset({'loan_no', 'previous_0'})",0.9276,0.715575,0.662275,0.7139661492022423,0.9977516671239806,-0.0014923700000000206,0.9943753132950156
128,"frozenset({'poutcome_unknown', 'pdays_-1'})",frozenset({'previous_0'}),0.865175,0.865175,0.865175,1.0,1.1558355246048486,0.116647219375,inf
129,"frozenset({'poutcome_unknown', 'previous_0'})",frozenset({'pdays_-1'}),0.865175,0.865175,0.865175,1.0,1.1558355246048486,0.116647219375,inf
130,"frozenset({'pdays_-1', 'previous_0'})",frozenset({'poutcome_unknown'}),0.865175,0.865175,0.865175,1.0,1.1558355246048486,0.116647219375,inf
131,frozenset({'poutcome_unknown'}),"frozenset({'pdays_-1', 'previous_0'})",0.865175,0.865175,0.865175,1.0,1.1558355246048486,0.116647219375,inf
132,frozenset({'pdays_-1'}),"frozenset({'poutcome_unknown', 'previous_0'})",0.865175,0.865175,0.865175,1.0,1.1558355246048486,0.116647219375,inf
133,frozenset({'previous_0'}),"frozenset({'poutcome_unknown', 'pdays_-1'})",0.865175,0.865175,0.865175,1.0,1.1558355246048486,0.116647219375,inf
134,"frozenset({'poutcome_unknown', 'pdays_-1'})",frozenset({'y_no'}),0.865175,0.9276,0.8038,0.9290605946773773,1.0015745953831148,0.001263669999999939,1.0205893279022396
135,"frozenset({'poutcome_unknown', 'y_no'})",frozenset({'pdays_-1'}),0.8038,0.865175,0.8038,1.0,1.1558355246048486,0.10837233499999999,inf
136,"frozenset({'pdays_-1', 'y_no'})",frozenset({'poutcome_unknown'}),0.8038,0.865175,0.8038,1.0,1.1558355246048486,0.10837233499999999,inf
137,frozenset({'poutcome_unknown'}),"frozenset({'pdays_-1', 'y_no'})",0.865175,0.8038,0.8038,0.9290605946773773,1.1558355246048486,0.10837233499999999,2.765740692464356
138,frozenset({'pdays_-1'}),"frozenset({'poutcome_unknown', 'y_no'})",0.865175,0.8038,0.8038,0.9290605946773773,1.1558355246048486,0.10837233499999999,2.765740692464356
139,frozenset({'y_no'}),"frozenset({'poutcome_unknown', 'pdays_-1'})",0.9276,0.865175,0.8038,0.8665373005605864,1.0015745953831148,0.001263669999999939,1.0102073505654277
140,"frozenset({'pdays_-1', 'previous_0'})",frozenset({'y_no'}),0.865175,0.9276,0.8038,0.9290605946773773,1.0015745953831148,0.001263669999999939,1.0205893279022396
141,"frozenset({'y_no', 'previous_0'})",frozenset({'pdays_-1'}),0.8038,0.865175,0.8038,1.0,1.1558355246048486,0.10837233499999999,inf
142,"frozenset({'pdays_-1', 'y_no'})",frozenset({'previous_0'}),0.8038,0.865175,0.8038,1.0,1.1558355246048486,0.10837233499999999,inf
143,frozenset({'previous_0'}),"frozenset({'pdays_-1', 'y_no'})",0.865175,0.8038,0.8038,0.9290605946773773,1.1558355246048486,0.10837233499999999,2.765740692464356
144,frozenset({'pdays_-1'}),"frozenset({'y_no', 'previous_0'})",0.865175,0.8038,0.8038,0.9290605946773773,1.1558355246048486,0.10837233499999999,2.765740692464356
145,frozenset({'y_no'}),"frozenset({'pdays_-1', 'previous_0'})",0.9276,0.865175,0.8038,0.8665373005605864,1.0015745953831148,0.001263669999999939,1.0102073505654277
146,"frozenset({'poutcome_unknown', 'previous_0'})",frozenset({'y_no'}),0.865175,0.9276,0.8038,0.9290605946773773,1.0015745953831148,0.001263669999999939,1.0205893279022396
147,"frozenset({'y_no', 'previous_0'})",frozenset({'poutcome_unknown'}),0.8038,0.865175,0.8038,1.0,1.1558355246048486,0.10837233499999999,inf
148,"frozenset({'poutcome_unknown', 'y_no'})",frozenset({'previous_0'}),0.8038,0.865175,0.8038,1.0,1.1558355246048486,0.10837233499999999,inf
149,frozenset({'previous_0'}),"frozenset({'poutcome_unknown', 'y_no'})",0.865175,0.8038,0.8038,0.9290605946773773,1.1558355246048486,0.10837233499999999,2.765740692464356
150,frozenset({'poutcome_unknown'}),"frozenset({'y_no', 'previous_0'})",0.865175,0.8038,0.8038,0.9290605946773773,1.1558355246048486,0.10837233499999999,2.765740692464356
151,frozenset({'y_no'}),"frozenset({'poutcome_unknown', 'previous_0'})",0.9276,0.865175,0.8038,0.8665373005605864,1.0015745953831148,0.001263669999999939,1.0102073505654277
152,"frozenset({'default_no', 'poutcome_unknown', 'loan_no'})",frozenset({'pdays_-1'}),0.70375,0.865175,0.70375,1.0,1.1558355246048486,0.09488309374999992,inf
153,"frozenset({'default_no', 'poutcome_unknown', 'pdays_-1'})",frozenset({'loan_no'}),0.84635,0.82675,0.70375,0.8315117859041767,1.005759644274783,0.0040301374999999195,1.0282618338008416
154,"frozenset({'default_no', 'loan_no', 'pdays_-1'})",frozenset({'poutcome_unknown'}),0.70375,0.865175,0.70375,1.0,1.1558355246048486,0.09488309374999992,inf
155,"frozenset({'loan_no', 'poutcome_unknown', 'pdays_-1'})",frozenset({'default_no'}),0.715575,0.979775,0.70375,0.9834748279355763,1.0037762016132035,0.0026475043750000538,1.223890433403808
156,"frozenset({'default_no', 'poutcome_unknown'})","frozenset({'loan_no', 'pdays_-1'})",0.84635,0.715575,0.70375,0.8315117859041767,1.162019055870002,0.09812309875000003,1.6881002717391305
157,"frozenset({'default_no', 'loan_no'})","frozenset({'poutcome_unknown', 'pdays_-1'})",0.814025,0.865175,0.70375,0.8645311876170879,0.9992558587766497,-0.0005240793749999861,0.9952475232373609
158,"frozenset({'default_no', 'pdays_-1'})","frozenset({'loan_no', 'poutcome_unknown'})",0.84635,0.715575,0.70375,0.8315117859041767,1.162019055870002,0.09812309875000003,1.6881002717391305
159,"frozenset({'loan_no', 'poutcome_unknown'})","frozenset({'default_no', 'pdays_-1'})",0.715575,0.84635,0.70375,0.9834748279355763,1.162019055870002,0.09812309875000003,9.297936469344602
160,"frozenset({'poutcome_unknown', 'pdays_-1'})","frozenset({'default_no', 'loan_no'})",0.865175,0.814025,0.70375,0.8134192504406622,0.9992558587766496,-0.0005240793749999861,0.9967534187703263
